# omp v18.1.8 596f2da7101178214aa27a753529d15e6b7ad91d
path	bytes	lines	role	surface
crates/pi-builtins/README.md	3061	69	doc	CRATE-PI-SHELL
crates/pi-builtins/src/alias.rs	1376	51	src	CRATE-PI-SHELL
crates/pi-builtins/src/b2sum.rs	1612	69	src	CRATE-PI-SHELL
crates/pi-builtins/src/base32.rs	28573	1035	src	CRATE-PI-SHELL
crates/pi-builtins/src/base64.rs	3207	106	src	CRATE-PI-SHELL
crates/pi-builtins/src/basename.rs	5857	208	src	CRATE-PI-SHELL
crates/pi-builtins/src/bg.rs	1163	42	src	CRATE-PI-SHELL
crates/pi-builtins/src/bind.rs	16235	565	src	CRATE-PI-SHELL
crates/pi-builtins/src/bre.rs	22641	683	src	CRATE-PI-SHELL
crates/pi-builtins/src/break_.rs	941	33	src	CRATE-PI-SHELL
crates/pi-builtins/src/builder.rs	579	20	src	CRATE-PI-SHELL
crates/pi-builtins/src/builtin_.rs	1182	44	src	CRATE-PI-SHELL
crates/pi-builtins/src/caller.rs	1748	56	src	CRATE-PI-SHELL
crates/pi-builtins/src/cat.rs	18631	694	src	CRATE-PI-SHELL
crates/pi-builtins/src/cd.rs	2715	84	src	CRATE-PI-SHELL
crates/pi-builtins/src/cksum.rs	72108	2270	src	CRATE-PI-SHELL
crates/pi-builtins/src/cmp.rs	17141	666	src	CRATE-PI-SHELL
crates/pi-builtins/src/colon.rs	1032	29	src	CRATE-PI-SHELL
crates/pi-builtins/src/combine.rs	10683	381	src	CRATE-PI-SHELL
crates/pi-builtins/src/comm.rs	13080	424	src	CRATE-PI-SHELL
crates/pi-builtins/src/command.rs	4812	171	src	CRATE-PI-SHELL
crates/pi-builtins/src/complete.rs	19759	675	src	CRATE-PI-SHELL
crates/pi-builtins/src/continue_.rs	996	34	src	CRATE-PI-SHELL
crates/pi-builtins/src/cut.rs	29106	1070	src	CRATE-PI-SHELL
crates/pi-builtins/src/date.rs	83265	2585	src	CRATE-PI-SHELL
crates/pi-builtins/src/declare.rs	18505	631	src	CRATE-PI-SHELL
crates/pi-builtins/src/diff.rs	43338	1291	src	CRATE-PI-SHELL
crates/pi-builtins/src/dirname.rs	6737	254	src	CRATE-PI-SHELL
crates/pi-builtins/src/dirs.rs	2290	101	src	CRATE-PI-SHELL
crates/pi-builtins/src/dot.rs	813	30	src	CRATE-PI-SHELL
crates/pi-builtins/src/echo.rs	2143	82	src	CRATE-PI-SHELL
crates/pi-builtins/src/enable.rs	2673	105	src	CRATE-PI-SHELL
crates/pi-builtins/src/errno.rs	11103	381	src	CRATE-PI-SHELL
crates/pi-builtins/src/eval.rs	1356	42	src	CRATE-PI-SHELL
crates/pi-builtins/src/exec.rs	3696	140	src	CRATE-PI-SHELL
crates/pi-builtins/src/exit.rs	795	31	src	CRATE-PI-SHELL
crates/pi-builtins/src/export.rs	4178	156	src	CRATE-PI-SHELL
crates/pi-builtins/src/factory.rs	14892	355	src	CRATE-PI-SHELL
crates/pi-builtins/src/false_.rs	1053	29	src	CRATE-PI-SHELL
